label1,label2,count
GPE,GPE,77984
PERSON,PERSON,20372
PERSON,GPE,14137
GPE,PERSON,14137
GPE,ORG,11455
ORG,GPE,11455
PERSON,ORG,6663
ORG,PERSON,6663
ORG,ORG,6656
LOC,GPE,4986
GPE,LOC,4986
LOC,LOC,2860
GPE,EVENT,2029
EVENT,GPE,2029
GPE,LANGUAGE,1230
LANGUAGE,GPE,1230
ORG,LOC,1009
LOC,ORG,1009
LOC,PERSON,911
PERSON,LOC,911
LANGUAGE,PERSON,573
PERSON,LANGUAGE,573
EVENT,ORG,341
ORG,EVENT,341
LANGUAGE,LANGUAGE,298
ORG,LANGUAGE,249
LANGUAGE,ORG,249
EVENT,PERSON,220
PERSON,EVENT,220
PERSON,WORK_OF_ART,219
WORK_OF_ART,PERSON,219
GPE,PRODUCT,168
PRODUCT,GPE,168
EVENT,EVENT,164
PRODUCT,PERSON,162
PERSON,PRODUCT,162
PRODUCT,ORG,159
LANGUAGE,LOC,159
ORG,PRODUCT,159
LOC,LANGUAGE,159
LOC,EVENT,159
EVENT,LOC,159
GPE,WORK_OF_ART,156
WORK_OF_ART,GPE,156
FAC,GPE,153
GPE,FAC,153
LAW,ORG,123
ORG,LAW,123
ORG,WORK_OF_ART,108
WORK_OF_ART,ORG,108
PERSON,FAC,99
FAC,PERSON,99
GPE,LAW,94
LAW,GPE,94
PRODUCT,LOC,72
LOC,PRODUCT,72
ORG,FAC,56
FAC,ORG,56
LAW,PERSON,30
PERSON,LAW,30
LANGUAGE,EVENT,23
EVENT,LANGUAGE,23
LOC,WORK_OF_ART,18
WORK_OF_ART,LANGUAGE,18
LANGUAGE,WORK_OF_ART,18
WORK_OF_ART,LOC,18
LANGUAGE,PRODUCT,16
PRODUCT,LANGUAGE,16
PRODUCT,EVENT,11
EVENT,PRODUCT,11
WORK_OF_ART,PRODUCT,5
FAC,LOC,5
LOC,FAC,5
PRODUCT,WORK_OF_ART,5
WORK_OF_ART,FAC,4
FAC,WORK_OF_ART,4
LOC,LAW,3
LAW,LOC,3
LANGUAGE,FAC,2
FAC,LANGUAGE,2
FAC,EVENT,2
EVENT,FAC,2
PRODUCT,LAW,2
LAW,PRODUCT,2
PRODUCT,FAC,2
FAC,PRODUCT,2
FAC,FAC,2
LANGUAGE,LAW,1
LAW,LANGUAGE,1
